Formula,Temperature (K),TC,DOI
Ag7Sn43Se50,348,1.41,
Ag7Sn43Se50,399,1.28,
Ag7Sn43Se50,446,1.18,
Ag7Sn43Se50,499,1.11,
Ag7Sn43Se50,550,1.08,
Ag7Sn43Se50,601,1.08,
Ag7Sn43Se50,651,1.1,
Ag7Sn43Se50,698,1.12,
Ag7Sn43Se50,751,1.17,
Cu37.5Sb12.5Se50,297,3.52, 10.1016/j.matdes.2016.03.001
Cu37.5Sb12.5Se50,322,2.8,
Cu37.5Sb12.5Se50,372,2.16,
Cu37.5Sb12.5Se50,423,1.84,
Cu37.5Sb12.5Se50,472,1.53,
Cu37.5Sb12.5Se50,521,1.39,
Cu37.5Sb12.5Se50,573,1.2,
Cu37.5Sb12.5Se50,621,1.08,
Cu37.5Sb12.5Se50,647,1.03,
Cu37.5Sb12.475In0.025Se50,297,3.05,
Cu37.5Sb12.475In0.025Se50,322,2.41,
Cu37.5Sb12.475In0.025Se50,371,1.91,
Cu37.5Sb12.475In0.025Se50,422,1.63,
Cu37.5Sb12.475In0.025Se50,473,1.37,
Cu37.5Sb12.475In0.025Se50,521,1.24,
Cu37.5Sb12.475In0.025Se50,570,1.1,
Cu37.5Sb12.475In0.025Se50,623,1,
Cu37.5Sb12.475In0.025Se50,646,0.98,
Cu37.5Sb12.4625In0.0375Se50,297,2.87,
Cu37.5Sb12.4625In0.0375Se50,322,2.49,
Cu37.5Sb12.4625In0.0375Se50,372,1.95,
Cu37.5Sb12.4625In0.0375Se50,421,1.68,
Cu37.5Sb12.4625In0.0375Se50,473,1.4,
Cu37.5Sb12.4625In0.0375Se50,522,1.25,
Cu37.5Sb12.4625In0.0375Se50,573,1.12,
Cu37.5Sb12.4625In0.0375Se50,621,1,
Cu37.5Sb12.4625In0.0375Se50,648,0.95,
Cu37.5Sb12.45In0.05Se50,297,3.17,
Cu37.5Sb12.45In0.05Se50,322,2.52,
Cu37.5Sb12.45In0.05Se50,372,2.01,
Cu37.5Sb12.45In0.05Se50,423,1.71,
Cu37.5Sb12.45In0.05Se50,473,1.42,
Cu37.5Sb12.45In0.05Se50,522,1.28,
Cu37.5Sb12.45In0.05Se50,573,1.14,
Cu37.5Sb12.45In0.05Se50,623,1.02,
Cu37.5Sb12.45In0.05Se50,648,0.99,
Cu66.67Se33.33,0,0.05,10.1039/c3ta12508d
Cu66.67Se33.33,3,0.29,
Cu66.67Se33.33,13,0.55,
Cu66.67Se33.33,37,0.78,
Cu66.67Se33.33,68,0.96,
Cu66.67Se33.33,102,1.07,
Cu66.67Se33.33,136,1.16,
Cu66.67Se33.33,171,1.24,
Cu66.67Se33.33,206,1.29,
Cu66.67Se33.33,236,1.34,
Cu66.67Se33.33,260,1.34,
Cu66.67Se33.33,286,1.32,
Cu66.67Se33.33,311,1.28,
Cu66.67Se33.33,333,1.19,
Cu66.67Se33.33,347,1.35,
Cu66.67Se33.33,398,2.25,
Cu66.67Se33.33,421,3.29,
Cu66.67Se33.33,447,1.45,
Cu66.67Se33.33,473,1.28,
Cu66.67Se33.33,495,1.28,
Cu66.67Se33.33,523,1.25,
Cu66.67Se33.33,545,1.22,
Cu66.67Se33.33,569,1.2,
Cu66.67Se33.33,596,1.17,
Cu66.67Se33.33,622,1.13,
Cu66.67Se33.33,644,1.12,
Cu66.67Se33.33,671,1.08,
Cu66.67Se33.33,693,1.06,
Cu66.67Se33.33,722,1.02,
Cu66.67Se33.33,746,0.98,
Cu66.67Se33.33,770,0.94,
Cu66.67Se33.33,796,0.89,
Cu66.67Se33.33,821,0.84,
Cu66.67Se33.33,843,0.79,
Cu66.67Se33.33,869,0.73,
Cu66.67Se33.33,896,0.68,
Cu62.26Ag6.29Se31.45,3,0.06,
Cu62.26Ag6.29Se31.45,13,0.27,
Cu62.26Ag6.29Se31.45,27,0.47,
Cu62.26Ag6.29Se31.45,51,0.6,
Cu62.26Ag6.29Se31.45,81,0.63,
Cu62.26Ag6.29Se31.45,109,0.72,
Cu62.26Ag6.29Se31.45,138,0.78,
Cu62.26Ag6.29Se31.45,170,0.83,
Cu62.26Ag6.29Se31.45,199,0.83,
Cu62.26Ag6.29Se31.45,219,0.83,
Cu62.26Ag6.29Se31.45,245,0.85,
Cu62.26Ag6.29Se31.45,272,0.83,
Cu62.26Ag6.29Se31.45,293,0.78,
Cu62.26Ag6.29Se31.45,306,0.92,
Cu62.26Ag6.29Se31.45,320,0.91,
Cu62.26Ag6.29Se31.45,347,0.92,
Cu62.26Ag6.29Se31.45,394,2.37,
Cu62.26Ag6.29Se31.45,424,0.84,
Cu62.26Ag6.29Se31.45,445,0.57,
Cu62.26Ag6.29Se31.45,470,0.52,
Cu62.26Ag6.29Se31.45,494,0.48,
Cu62.26Ag6.29Se31.45,526,0.47,
Cu62.26Ag6.29Se31.45,543,0.43,
Cu62.26Ag6.29Se31.45,572,0.43,
Cu62.26Ag6.29Se31.45,598,0.43,
Cu62.26Ag6.29Se31.45,618,0.43,
Cu62.26Ag6.29Se31.45,646,0.43,
Cu62.26Ag6.29Se31.45,668,0.43,
Cu62.26Ag6.29Se31.45,695,0.43,
Cu62.26Ag6.29Se31.45,722,0.41,
Cu62.26Ag6.29Se31.45,746,0.38,
Cu62.26Ag6.29Se31.45,770,0.38,
Cu62.26Ag6.29Se31.45,797,0.38,
Cu62.26Ag6.29Se31.45,820,0.38,
Cu62.26Ag6.29Se31.45,847,0.36,
Cu62.26Ag6.29Se31.45,869,0.36,
Cu62.26Ag6.29Se31.45,898,0.36,
Cu66.67Te33.33,1,0.97,
Cu66.67Te33.33,6,1.35,
Cu66.67Te33.33,13,1.97,
Cu66.67Te33.33,22,2.84,
Cu66.67Te33.33,39,3.52,
Cu66.67Te33.33,81,3.84,
Cu66.67Te33.33,127,3.97,
Cu66.67Te33.33,163,4.06,
Cu66.67Te33.33,194,4.15,
Cu66.67Te33.33,219,4.25,
Cu66.67Te33.33,246,4.2,
Cu66.67Te33.33,274,4.13,
Cu66.67Te33.33,291,4.09,
Cu66.67Te33.33,313,4.08,
Cu66.67Te33.33,342,4.4,
Cu66.67Te33.33,366,4.36,
Cu66.67Te33.33,393,4.27,
Cu66.67Te33.33,420,4.41,
Cu66.67Te33.33,447,4.53,
Cu66.67Te33.33,470,4,
Cu66.67Te33.33,494,3.44,
Cu66.67Te33.33,520,3.12,
Cu66.67Te33.33,544,2.88,
Cu66.67Te33.33,569,2.7,
Cu66.67Te33.33,595,2.79,
Cu66.67Te33.33,620,3.04,
Cu66.67Te33.33,644,3.61,
Cu66.67Te33.33,670,3.5,
Cu66.67Te33.33,695,3.84,
Cu66.67Te33.33,715,4.1,
Cu66.67Te33.33,741,4.25,
Cu66.67Te33.33,766,4.49,
Cu66.67Te33.33,788,4.49,
Cu66.67Te33.33,816,3.94,
Cu66.67Te33.33,843,3.47,
Cu66.67Te33.33,869,3.19,
Cu66.67Te33.33,893,2.92,
Cu62.26Ag6.29Te31.45,0,0.23,
Cu62.26Ag6.29Te31.45,3,0.55,
Cu62.26Ag6.29Te31.45,16,0.98,
Cu62.26Ag6.29Te31.45,28,1.33,
Cu62.26Ag6.29Te31.45,54,1.58,
Cu62.26Ag6.29Te31.45,96,1.65,
Cu62.26Ag6.29Te31.45,134,1.75,
Cu62.26Ag6.29Te31.45,166,1.85,
Cu62.26Ag6.29Te31.45,197,1.91,
Cu62.26Ag6.29Te31.45,222,1.97,
Cu62.26Ag6.29Te31.45,249,1.97,
Cu62.26Ag6.29Te31.45,272,1.97,
Cu62.26Ag6.29Te31.45,304,2.01,
Cu62.26Ag6.29Te31.45,328,1.97,
Cu62.26Ag6.29Te31.45,345,1.87,
Cu62.26Ag6.29Te31.45,374,1.88,
Cu62.26Ag6.29Te31.45,394,1.82,
Cu62.26Ag6.29Te31.45,422,1.72,
Cu62.26Ag6.29Te31.45,444,1.68,
Cu62.26Ag6.29Te31.45,470,1.6,
Cu62.26Ag6.29Te31.45,497,1.6,
Cu62.26Ag6.29Te31.45,521,1.72,
Cu62.26Ag6.29Te31.45,543,1.46,
Cu62.26Ag6.29Te31.45,570,1.35,
Cu62.26Ag6.29Te31.45,596,1.43,
Cu62.26Ag6.29Te31.45,620,1.3,
Cu62.26Ag6.29Te31.45,644,1.3,
Cu62.26Ag6.29Te31.45,671,1.33,
Cu62.26Ag6.29Te31.45,695,1.35,
Cu62.26Ag6.29Te31.45,722,1.4,
Cu62.26Ag6.29Te31.45,746,1.42,
Cu62.26Ag6.29Te31.45,770,1.51,
Cu62.26Ag6.29Te31.45,792,1.53,
Cu62.26Ag6.29Te31.45,817,1.43,
Cu62.26Ag6.29Te31.45,843,1.38,
Cu62.26Ag6.29Te31.45,870,1.38,
Cu62.26Ag6.29Te31.45,896,1.3,
Mg68.35Si12.66Sn18.99,304,1.75, 10.1016/j.jssc.2013.04.041
Mg68.35Si12.66Sn18.99,370,1.58,
Mg68.35Si12.66Sn18.99,447,1.47,
Mg68.35Si12.66Sn18.99,509,1.48,
Mg68.35Si12.66Sn18.99,576,1.61,
Mg68.35Si12.66Sn18.99,617,1.7,
Mg68.35Si12.66Sn18.99,657,1.84,
Mg68.35Si12.66Sn18.99,693,2,
Mg68.35Si12.66Sn18.99,756,2.43,
Mg68.35Si12.59Sn18.89Bi0.17,313,2.24,
Mg68.35Si12.59Sn18.89Bi0.17,377,2.04,
Mg68.35Si12.59Sn18.89Bi0.17,472,1.86,
Mg68.35Si12.59Sn18.89Bi0.17,517,1.78,
Mg68.35Si12.59Sn18.89Bi0.17,578,1.74,
Mg68.35Si12.59Sn18.89Bi0.17,628,1.73,
Mg68.35Si12.59Sn18.89Bi0.17,671,1.79,
Mg68.35Si12.59Sn18.89Bi0.17,715,1.87,
Mg68.35Si12.59Sn18.89Bi0.17,768,2.07,
Mg68.35Si12.53Sn18.8Bi0.32,313,2.51,
Mg68.35Si12.53Sn18.8Bi0.32,371,2.29,
Mg68.35Si12.53Sn18.8Bi0.32,469,2.12,
Mg68.35Si12.53Sn18.8Bi0.32,521,2.04,
Mg68.35Si12.53Sn18.8Bi0.32,572,2.01,
Mg68.35Si12.53Sn18.8Bi0.32,623,1.99,
Mg68.35Si12.53Sn18.8Bi0.32,667,2.02,
Mg68.35Si12.53Sn18.8Bi0.32,717,2.05,
Mg68.35Si12.53Sn18.8Bi0.32,771,2.15,
Mg68.35Si12.47Sn18.7Bi0.48,298,2.68,
Mg68.35Si12.47Sn18.7Bi0.48,370,2.49,
Mg68.35Si12.47Sn18.7Bi0.48,471,2.32,
Mg68.35Si12.47Sn18.7Bi0.48,515,2.26,
Mg68.35Si12.47Sn18.7Bi0.48,574,2.2,
Mg68.35Si12.47Sn18.7Bi0.48,616,2.19,
Mg68.35Si12.47Sn18.7Bi0.48,667,2.2,
Mg68.35Si12.47Sn18.7Bi0.48,716,2.21,
Mg68.35Si12.47Sn18.7Bi0.48,766,2.24,
Mg68.35Si12.41Sn18.61Bi0.63,312,2.74,
Mg68.35Si12.41Sn18.61Bi0.63,374,2.56,
Mg68.35Si12.41Sn18.61Bi0.63,472,2.41,
Mg68.35Si12.41Sn18.61Bi0.63,513,2.36,
Mg68.35Si12.41Sn18.61Bi0.63,572,2.29,
Mg68.35Si12.41Sn18.61Bi0.63,620,2.29,
Mg68.35Si12.41Sn18.61Bi0.63,668,2.29,
Mg68.35Si12.41Sn18.61Bi0.63,717,2.29,
Mg68.35Si12.41Sn18.61Bi0.63,766,2.3,
Mg68.35Si12.28Sn18.42Bi0.95,300,2.79,
Mg68.35Si12.28Sn18.42Bi0.95,372,2.6,
Mg68.35Si12.28Sn18.42Bi0.95,472,2.45,
Mg68.35Si12.28Sn18.42Bi0.95,523,2.37,
Mg68.35Si12.28Sn18.42Bi0.95,574,2.33,
Mg68.35Si12.28Sn18.42Bi0.95,618,2.31,
Mg68.35Si12.28Sn18.42Bi0.95,667,2.31,
Mg68.35Si12.28Sn18.42Bi0.95,716,2.31,
Mg68.35Si12.28Sn18.42Bi0.95,769,2.33,
Co25Sb75,296,10.95, 10.1016/j.jpcs.2005.05.077
Co25Sb75,313,10.64,
Co25Sb75,336,10.36,
Co25Sb75,381,9.69,
Co25Sb75,428,8.99,
Co25Sb75,475,8.5,
Co25Sb75,537,8.15,
Co25Sb75,590,8.05,
Co25Sb75,635,8.08,
Co25Sb75,689,8.15,
Co25Sb75,737,8.54,
Co25Sb75,784,8.78,
Co24.875Ni0.125Sb75,296,8.15,
Co24.875Ni0.125Sb75,334,7.52,
Co24.875Ni0.125Sb75,381,7.14,
Co24.875Ni0.125Sb75,431,6.72,
Co24.875Ni0.125Sb75,477,6.3,
Co24.875Ni0.125Sb75,529,6.12,
Co24.875Ni0.125Sb75,577,6.12,
Co24.875Ni0.125Sb75,631,6.3,
Co24.875Ni0.125Sb75,692,6.72,
Co24.875Ni0.125Sb75,744,6.82,
Co24.875Ni0.125Sb75,784,6.96,
Co22.5Ni2.5Sb75,294,5.98,
Co22.5Ni2.5Sb75,336,5.74,
Co22.5Ni2.5Sb75,383,5.6,
Co22.5Ni2.5Sb75,438,5.53,
Co22.5Ni2.5Sb75,506,5.49,
Co22.5Ni2.5Sb75,557,5.42,
Co22.5Ni2.5Sb75,619,5.49,
Co22.5Ni2.5Sb75,675,5.84,
Co22.5Ni2.5Sb75,729,6.02,
Co22.5Ni2.5Sb75,784,6.16,
Co24.75Ni0.25Sb75,294,7.98,
Co24.75Ni0.25Sb75,363,7.28,
Co24.75Ni0.25Sb75,395,6.86,
Co24.75Ni0.25Sb75,442,6.47,
Co24.75Ni0.25Sb75,492,6.12,
Co24.75Ni0.25Sb75,562,6.12,
Co24.75Ni0.25Sb75,609,6.3,
Co24.75Ni0.25Sb75,663,6.58,
Co24.75Ni0.25Sb75,713,6.89,
Co24.75Ni0.25Sb75,777,7.1,
Co24.25Ni0.75Sb75,292,7.31,
Co24.25Ni0.75Sb75,341,7.24,
Co24.25Ni0.75Sb75,431,6.82,
Co24.25Ni0.75Sb75,480,6.54,
Co24.25Ni0.75Sb75,529,6.47,
Co24.25Ni0.75Sb75,586,6.47,
Co24.25Ni0.75Sb75,638,6.58,
Co24.25Ni0.75Sb75,692,6.79,
Co24.25Ni0.75Sb75,743,7.07,
Co24.25Ni0.75Sb75,783,7.28,
Co23.75Ni1.25Sb75,294,6.82,
Co23.75Ni1.25Sb75,334,6.65,
Co23.75Ni1.25Sb75,381,6.4,
Co23.75Ni1.25Sb75,431,6.16,
Co23.75Ni1.25Sb75,508,6.12,
Co23.75Ni1.25Sb75,557,6.12,
Co23.75Ni1.25Sb75,612,6.16,
Co23.75Ni1.25Sb75,668,6.4,
Co23.75Ni1.25Sb75,723,6.79,
Co23.75Ni1.25Sb75,781,6.96,
Mg66.67Si18.33Sn13.33Ge1.67,304,1.93, 10.1016/j.actamat.2014.04.060
Mg66.67Si18.33Sn13.33Ge1.67,328,1.85,
Mg66.67Si18.33Sn13.33Ge1.67,372,1.77,
Mg66.67Si18.33Sn13.33Ge1.67,421,1.72,
Mg66.67Si18.33Sn13.33Ge1.67,469,1.68,
Mg66.67Si18.33Sn13.33Ge1.67,519,1.67,
Mg66.67Si18.33Sn13.33Ge1.67,566,1.71,
Mg66.67Si18.33Sn13.33Ge1.67,615,1.77,
Mg66.67Si18.33Sn13.33Ge1.67,664,1.84,
Mg66.67Si18.33Sn13.33Ge1.67,714,1.9,
Mg66.67Si18.33Sn13.33Ge1.67,762,1.94,
Mg66.67Si18.00Sn13.33Ge1.67Bi0.33,303,1.8,
Mg66.67Si18.00Sn13.33Ge1.67Bi0.33,326,1.76,
Mg66.67Si18.00Sn13.33Ge1.67Bi0.33,375,1.65,
Mg66.67Si18.00Sn13.33Ge1.67Bi0.33,425,1.57,
Mg66.67Si18.00Sn13.33Ge1.67Bi0.33,474,1.48,
Mg66.67Si18.00Sn13.33Ge1.67Bi0.33,524,1.42,
Mg66.67Si18.00Sn13.33Ge1.67Bi0.33,575,1.37,
Mg66.67Si18.00Sn13.33Ge1.67Bi0.33,623,1.33,
Mg66.67Si18.00Sn13.33Ge1.67Bi0.33,672,1.34,
Mg66.67Si18.00Sn13.33Ge1.67Bi0.33,723,1.38,
Mg66.67Si18.00Sn13.33Ge1.67Bi0.33,773,1.49,
Mg66.67Si18.00Sn13.33Ge1.67Bi0.33,822,1.65,
Mg66.67Si17.75Sn13.33Ge1.67Bi0.58,303,2.65,
Mg66.67Si17.75Sn13.33Ge1.67Bi0.58,328,2.6,
Mg66.67Si17.75Sn13.33Ge1.67Bi0.58,374,2.53,
Mg66.67Si17.75Sn13.33Ge1.67Bi0.58,426,2.42,
Mg66.67Si17.75Sn13.33Ge1.67Bi0.58,475,2.28,
Mg66.67Si17.75Sn13.33Ge1.67Bi0.58,526,2.27,
Mg66.67Si17.75Sn13.33Ge1.67Bi0.58,575,2.21,
Mg66.67Si17.75Sn13.33Ge1.67Bi0.58,624,2.11,
Mg66.67Si17.75Sn13.33Ge1.67Bi0.58,674,2.06,
Mg66.67Si17.75Sn13.33Ge1.67Bi0.58,723,1.98,
Mg66.67Si17.75Sn13.33Ge1.67Bi0.58,772,1.89,
Mg66.67Si17.75Sn13.33Ge1.67Bi0.58,820,1.87,
Mg66.67Si17.67Sn13.33Ge1.67Bi0.67,304,2.98,
Mg66.67Si17.67Sn13.33Ge1.67Bi0.67,326,2.95,
Mg66.67Si17.67Sn13.33Ge1.67Bi0.67,372,2.78,
Mg66.67Si17.67Sn13.33Ge1.67Bi0.67,419,2.7,
Mg66.67Si17.67Sn13.33Ge1.67Bi0.67,468,2.59,
Mg66.67Si17.67Sn13.33Ge1.67Bi0.67,515,2.54,
Mg66.67Si17.67Sn13.33Ge1.67Bi0.67,563,2.45,
Mg66.67Si17.67Sn13.33Ge1.67Bi0.67,611,2.36,
Mg66.67Si17.67Sn13.33Ge1.67Bi0.67,659,2.28,
Mg66.67Si17.67Sn13.33Ge1.67Bi0.67,707,2.19,
Mg66.67Si17.67Sn13.33Ge1.67Bi0.67,756,2.1,
Mg66.67Si17.67Sn13.33Ge1.67Bi0.67,807,2.02,
Mg66.67Si17.50Sn13.33Ge1.67Bi0.75,304,2.91,
Mg66.67Si17.50Sn13.33Ge1.67Bi0.75,328,2.92,
Mg66.67Si17.50Sn13.33Ge1.67Bi0.75,373,2.83,
Mg66.67Si17.50Sn13.33Ge1.67Bi0.75,418,2.72,
Mg66.67Si17.50Sn13.33Ge1.67Bi0.75,467,2.6,
Mg66.67Si17.50Sn13.33Ge1.67Bi0.75,515,2.51,
Mg66.67Si17.50Sn13.33Ge1.67Bi0.75,563,2.49,
Mg66.67Si17.50Sn13.33Ge1.67Bi0.75,612,2.41,
Mg66.67Si17.50Sn13.33Ge1.67Bi0.75,660,2.35,
Mg66.67Si17.50Sn13.33Ge1.67Bi0.75,708,2.28,
Mg66.67Si17.50Sn13.33Ge1.67Bi0.75,756,2.21,
Mg66.67Si17.50Sn13.33Ge1.67Bi0.75,808,2.21,
Mg66.67Si17.33Sn13.33Ge1.67Bi0.83,304,2.97,
Mg66.67Si17.33Sn13.33Ge1.67Bi0.83,328,2.96,
Mg66.67Si17.33Sn13.33Ge1.67Bi0.83,373,2.88,
Mg66.67Si17.33Sn13.33Ge1.67Bi0.83,425,2.78,
Mg66.67Si17.33Sn13.33Ge1.67Bi0.83,473,2.62,
Mg66.67Si17.33Sn13.33Ge1.67Bi0.83,525,2.57,
Mg66.67Si17.33Sn13.33Ge1.67Bi0.83,574,2.52,
Mg66.67Si17.33Sn13.33Ge1.67Bi0.83,625,2.41,
Mg66.67Si17.33Sn13.33Ge1.67Bi0.83,672,2.37,
Mg66.67Si17.33Sn13.33Ge1.67Bi0.83,725,2.28,
Mg66.67Si17.33Sn13.33Ge1.67Bi0.83,776,2.24,
Mg66.67Si17.33Sn13.33Ge1.67Bi0.83,822,2.2,
Mg66.67Si17.00Sn13.33Ge1.67Bi1.00,311,3.25,
Mg66.67Si17.00Sn13.33Ge1.67Bi1.00,326,3.32,
Mg66.67Si17.00Sn13.33Ge1.67Bi1.00,374,3.17,
Mg66.67Si17.00Sn13.33Ge1.67Bi1.00,422,3,
Mg66.67Si17.00Sn13.33Ge1.67Bi1.00,472,2.9,
Mg66.67Si17.00Sn13.33Ge1.67Bi1.00,524,2.88,
Mg66.67Si17.00Sn13.33Ge1.67Bi1.00,574,2.83,
Mg66.67Si17.00Sn13.33Ge1.67Bi1.00,621,2.72,
Mg66.67Si17.00Sn13.33Ge1.67Bi1.00,672,2.64,
Mg66.67Si17.00Sn13.33Ge1.67Bi1.00,721,2.58,
Mg66.67Si17.00Sn13.33Ge1.67Bi1.00,771,2.5,
Mg66.67Si17.00Sn13.33Ge1.67Bi1.00,820,2.45,
Mg66.67Si16.67Sn13.33Ge1.67Bi1.17,305,3.2,
Mg66.67Si16.67Sn13.33Ge1.67Bi1.17,329,3.24,
Mg66.67Si16.67Sn13.33Ge1.67Bi1.17,377,3.15,
Mg66.67Si16.67Sn13.33Ge1.67Bi1.17,427,3.03,
Mg66.67Si16.67Sn13.33Ge1.67Bi1.17,478,2.86,
Mg66.67Si16.67Sn13.33Ge1.67Bi1.17,528,2.82,
Mg66.67Si16.67Sn13.33Ge1.67Bi1.17,577,2.77,
Mg66.67Si16.67Sn13.33Ge1.67Bi1.17,628,2.69,
Mg66.67Si16.67Sn13.33Ge1.67Bi1.17,678,2.62,
Mg66.67Si16.67Sn13.33Ge1.67Bi1.17,727,2.54,
Mg66.67Si16.67Sn13.33Ge1.67Bi1.17,778,2.45,
Mg66.67Si16.67Sn13.33Ge1.67Bi1.17,829,2.46,
Cu25Zn12.5Ge12.5Se50,372,1.32,10.1007/s11664-015-4131-8
Cu25Zn12.5Ge12.5Se50,423,1.24,
Cu25Zn12.5Ge12.5Se50,472,1.18,
Cu25Zn12.5Ge12.5Se50,523,1.14,
Cu25Zn12.5Ge12.5Se50,572,1.07,
Cu25Zn12.5Ge12.5Se50,624,1.05,
Cu25Zn12.5Ge12.5Se50,673,1,
Cu25Zn12.5Ge12.19In0.31Se50,373,2.13,
Cu25Zn12.5Ge12.19In0.31Se50,422,2.05,
Cu25Zn12.5Ge12.19In0.31Se50,472,2,
Cu25Zn12.5Ge12.19In0.31Se50,522,1.85,
Cu25Zn12.5Ge12.19In0.31Se50,574,1.72,
Cu25Zn12.5Ge12.19In0.31Se50,625,1.62,
Cu25Zn12.5Ge12.19In0.31Se50,673,1.51,
Cu25Zn12.5Ge11.88In0.63Se50,372,2.07,
Cu25Zn12.5Ge11.88In0.63Se50,422,1.94,
Cu25Zn12.5Ge11.88In0.63Se50,473,1.81,
Cu25Zn12.5Ge11.88In0.63Se50,523,1.68,
Cu25Zn12.5Ge11.88In0.63Se50,572,1.56,
Cu25Zn12.5Ge11.88In0.63Se50,623,1.42,
Cu25Zn12.5Ge11.88In0.63Se50,673,1.31,
Cu25Zn12.5Ge11.56In0.94Se50,373,2.55,
Cu25Zn12.5Ge11.56In0.94Se50,424,2.39,
Cu25Zn12.5Ge11.56In0.94Se50,473,2.26,
Cu25Zn12.5Ge11.56In0.94Se50,524,2.14,
Cu25Zn12.5Ge11.56In0.94Se50,574,1.88,
Cu25Zn12.5Ge11.56In0.94Se50,625,1.68,
Cu25Zn12.5Ge11.56In0.94Se50,674,1.55,
Cu25Zn12.5Ge11.25In1.25Se50,372,1.93,
Cu25Zn12.5Ge11.25In1.25Se50,422,1.87,
Cu25Zn12.5Ge11.25In1.25Se50,473,1.79,
Cu25Zn12.5Ge11.25In1.25Se50,524,1.63,
Cu25Zn12.5Ge11.25In1.25Se50,574,1.48,
Cu25Zn12.5Ge11.25In1.25Se50,624,1.34,
Cu25Zn12.5Ge11.25In1.25Se50,673,1.25,
Ba12.5Ag25Sn12.5Se50,319,0.5, 10.1016/j.mtphys.2019.100098
Ba12.5Ag25Sn12.5Se50,372,0.42,
Ba12.5Ag25Sn12.5Se50,422,0.39,
Ba12.5Ag25Sn12.5Se50,473,0.36,
Ba12.5Ag25Sn12.5Se50,521,0.34,
Ba12.5Ag25Sn12.5Se50,574,0.32,
Ba12.5Ag25Sn12.5Se50,622,0.3,
Ba12.5Ag25Sn12.5Se50,671,0.29,
Ba12.5Ag25Sn12.5Se50,722,0.27,
Ba12.5Ag25Sn12.475Ga0.025Se50,320,0.43,
Ba12.5Ag25Sn12.475Ga0.025Se50,369,0.38,
Ba12.5Ag25Sn12.475Ga0.025Se50,422,0.35,
Ba12.5Ag25Sn12.475Ga0.025Se50,473,0.32,
Ba12.5Ag25Sn12.475Ga0.025Se50,521,0.3,
Ba12.5Ag25Sn12.475Ga0.025Se50,571,0.28,
Ba12.5Ag25Sn12.475Ga0.025Se50,624,0.27,
Ba12.5Ag25Sn12.475Ga0.025Se50,670,0.26,
Ba12.5Ag25Sn12.475Ga0.025Se50,724,0.25,
Ba12.5Ag25Sn12.4375Ga0.0625Se50,321,0.44,
Ba12.5Ag25Sn12.4375Ga0.0625Se50,372,0.39,
Ba12.5Ag25Sn12.4375Ga0.0625Se50,422,0.36,
Ba12.5Ag25Sn12.4375Ga0.0625Se50,473,0.33,
Ba12.5Ag25Sn12.4375Ga0.0625Se50,522,0.31,
Ba12.5Ag25Sn12.4375Ga0.0625Se50,572,0.29,
Ba12.5Ag25Sn12.4375Ga0.0625Se50,623,0.28,
Ba12.5Ag25Sn12.4375Ga0.0625Se50,671,0.27,
Ba12.5Ag25Sn12.4375Ga0.0625Se50,724,0.26,
Ba12.5Ag25Sn12.3875Ga0.1125Se50,323,0.52,
Ba12.5Ag25Sn12.3875Ga0.1125Se50,372,0.47,
Ba12.5Ag25Sn12.3875Ga0.1125Se50,423,0.43,
Ba12.5Ag25Sn12.3875Ga0.1125Se50,473,0.39,
Ba12.5Ag25Sn12.3875Ga0.1125Se50,521,0.37,
Ba12.5Ag25Sn12.3875Ga0.1125Se50,574,0.35,
Ba12.5Ag25Sn12.3875Ga0.1125Se50,624,0.33,
Ba12.5Ag25Sn12.3875Ga0.1125Se50,670,0.32,
Ba12.5Ag25Sn12.3875Ga0.1125Se50,721,0.31,
Ba12.5Ag25Sn12.4625In0.0375Se50,323,0.48,
Ba12.5Ag25Sn12.4625In0.0375Se50,372,0.44,
Ba12.5Ag25Sn12.4625In0.0375Se50,424,0.4,
Ba12.5Ag25Sn12.4625In0.0375Se50,472,0.37,
Ba12.5Ag25Sn12.4625In0.0375Se50,520,0.35,
Ba12.5Ag25Sn12.4625In0.0375Se50,575,0.33,
Ba12.5Ag25Sn12.4625In0.0375Se50,625,0.31,
Ba12.5Ag25Sn12.4625In0.0375Se50,670,0.3,
Ba12.5Ag25Sn12.4625In0.0375Se50,724,0.28,
Ba12.5Ag25Sn12.4375In0.0625Se50,321,0.49,
Ba12.5Ag25Sn12.4375In0.0625Se50,371,0.44,
Ba12.5Ag25Sn12.4375In0.0625Se50,425,0.39,
Ba12.5Ag25Sn12.4375In0.0625Se50,472,0.36,
Ba12.5Ag25Sn12.4375In0.0625Se50,526,0.34,
Ba12.5Ag25Sn12.4375In0.0625Se50,570,0.33,
Ba12.5Ag25Sn12.4375In0.0625Se50,621,0.32,
Ba12.5Ag25Sn12.4375In0.0625Se50,675,0.31,
Ba12.5Ag25Sn12.4375In0.0625Se50,722,0.3,
Sn50S50,308,1.02,10.1021/acsami.7b08770
Sn50S50,400,0.77,
Sn50S50,508,0.58,
Sn50S50,608,0.51,
Sn50S50,707,0.49,
Sn50S50,804,0.48,
Sn49.75Na0.25S50,299,1.05,
Sn49.75Na0.25S50,394,0.78,
Sn49.75Na0.25S50,505,0.59,
Sn49.75Na0.25S50,607,0.51,
Sn49.75Na0.25S50,710,0.49,
Sn49.75Na0.25S50,805,0.46,
Sn49.75Na0.25S50,854,0.43,
Sn49.5Na0.5S50,304,0.87,
